code,name,city,state,statename,lat,lng,search
ELY,Yelland Field Airport,Ely,NV,Nevada,39.3043,-114.853,ely|yellandfieldairport|elynv|nevada
EMK,Emmonak Airport,Alakanuk,AK,Alaska,62.785,-164.491,emk|emmonakairport|alakanukak|alaska
ENA,Kenai Municipal Airport,Kenai,AK,Alaska,60.5651,-151.244,ena|kenaimunicipalairport|kenaiak|alaska
ENW,Kenosha Regional Airport,Kenosha,WI,Wisconsin,42.5934,-87.9299,enw|kenosharegionalairport|kenoshawi|wisconsin
ERI,Erie International Airport,Erie,PA,Pennsylvania,42.0829,-80.1824,eri|erieinternationalairport|eriepa|pennsylvania
ESC,Delta County Airport,Escanaba,MI,Michigan,45.718,-87.0942,esc|deltacountyairport|escanabami|michigan
ESD,Orcas Island Airport,Eastsound,WA,Washington,48.7073,-122.909,esd|orcasislandairport|eastsoundwa|washington
EUG,Mahlon Sweet Field Airport,Eugene,OR,Oregon,44.1184,-123.213,eug|mahlonsweetfieldairport|eugeneor|oregon
EVV,Evansville Regional Airport,Evansville,IN,Indiana,38.0464,-87.5308,evv|evansvilleregionalairport|evansvillein|indiana
EWB,New Bedford Municipal Airport,New Bedford,MA,Massachusetts,41.6735,-70.9579,ewb|newbedfordmunicipalairport|newbedfordma|massachusetts
EWD,Wildman Lake,Wildman Lake,AK,Alaska,61.1021,-149.924,ewd|wildmanlake|wildmanlakeak|alaska
EWN,Craven County Regional Airport,New Bern,NC,North Carolina,35.0786,-77.0343,ewn|cravencountyregionalairport|newbernnc|northcarolina
EWR,Newark International Airport,Newark,NJ,New Jersey,40.6924,-74.1843,ewr|nyc|newarkinternationalairport|newarknj|newjersey
EYW,Key West International Airport,Key West,FL,Florida,24.5536,-81.7551,eyw|keywestinternationalairport|keywestfl|florida
FAI,Fairbanks International Airport,Fairbanks,AK,Alaska,64.8183,-147.866,fai|fairbanksinternationalairport|fairbanksak|alaska
FAR,Hector International Airport,Fargo,ND,North Dakota,46.9195,-96.8243,far|hectorinternationalairport|fargond|northdakota
FAT,Fresno Yosemite International Airport,Fresno,CA,California,36.7675,-119.717,fat|fresnoyosemiteinternationalairport|fresnoca|california
FAY,Fayetteville Regional Airport,Fayetteville,NC,North Carolina,34.9914,-78.8889,fay|fayettevilleregionalairport|fayettevillenc|northcarolina
FCA,Glacier Park International Airport,Kalispell,MT,Montana,48.3075,-114.252,fca|glacierparkinternationalairport|kalispellmt|montana
FKL,Chess Lamberton Airport,Franklin,PA,Pennsylvania,41.3766,-79.8573,fkl|chesslambertonairport|franklinpa|pennsylvania
FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,Arizona,35.139,-111.675,flg|flagstaffpulliamairport|flagstaffaz|arizona
FLL,Fort Lauderdale Hollywood International Airport,Dania Beach,FL,Florida,26.0722,-80.1354,fll|fortlauderdalehollywoodinternationalairport|daniabeachfl|florida
FLO,Florence Regional Airport,Florence,SC,South Carolina,34.1936,-79.7289,flo|florenceregionalairport|florencesc|southcarolina
FMN,Four Corners Regional Airport,Farmington,NM,New Mexico,36.7387,-108.227,fmn|fourcornersregionalairport|farmingtonnm|newmexico
FMY,Page Field Airport,Fort Myers,FL,Florida,26.5815,-81.862,fmy|pagefieldairport|fortmyersfl|florida
FNL,Fort Collins Loveland Municipal Airport,Loveland,CO,Colorado,40.4505,-105.008,fnl|fortcollinslovelandmunicipalairport|lovelandco|colorado
FNT,Bishop International Airport,Flint,MI,Michigan,42.9756,-83.7411,fnt|bishopinternationalairport|flintmi|michigan
FOD,Fort Dodge Regional Airport,Fort Dodge,IA,Iowa,42.5523,-94.1819,fod|fortdodgeregionalairport|fortdodgeia|iowa
FRD,Friday Harbor Airport,Friday Harbor,WA,Washington,48.5252,-123.027,frd|fridayharborairport|fridayharborwa|washington
FSD,Sioux Falls Regional Airport,Sioux Falls,SD,South Dakota,43.5813,-96.7317,fsd|siouxfallsregionalairport|siouxfallssd|southdakota
FSM,Smith Field Airport,Fort Smith,AR,Arkansas,36.1881,-94.4944,fsm|smithfieldairport|fortsmithar|arkansas
FWA,Fort Wayne Municipal Airport-Baer Field,Fort Wayne,IN,Indiana,40.9883,-85.1899,fwa|fortwaynemunicipalairportbaerfield|fortwaynein|indiana
FYU,Fort Yukon Airport,Fort Yukon,AK,Alaska,66.5714,-145.25,fyu|fortyukonairport|fortyukonak|alaska
GAL,Galena Airport,Galena,AK,Alaska,64.7404,-156.931,gal|galenaairport|galenaak|alaska
